"subjectID","structureID","nodeID","ad","ad_sd","ad_inverse_mean","ad_inverse_sd","fa","fa_sd","fa_inverse_mean","fa_inverse_sd","md","md_sd","md_inverse_mean","md_inverse_sd","rd","rd_sd","rd_inverse_mean","rd_inverse_sd","ndi","ndi_sd","ndi_inverse_mean","ndi_inverse_sd","isovf","isovf_sd","isovf_inverse_mean","isovf_inverse_sd","odi","odi_sd","odi_inverse_mean","odi_inverse_sd","x_coords","y_coords","z_coords","Timepoint","tags","datatype_tags"
"R001","ROIrhlgnROIparc203",70,1.311335114,"0.060519287","0.76672044","0.037146877",0.262373877,"0.018688278","3.857402192","0.256009983",1.010955664,"0.038683392","0.993835276","0.039128169",0.860765981,"0.03331224","1.16825226","0.046922002",0.480162749,"0.027323654","2.108855184","0.122335861",0.079132509,"0.030315629","18.41732768","11.86034596",0.220863939,"0.021697449","4.656341029","0.437786225","30.6425239","-59.29293008","15.22021039","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",71,1.286532103,"0.061323701","0.781721601","0.038462684",0.261075166,"0.017672235","3.873587971","0.249854571",0.994323119,"0.038259428","1.010402795","0.039645877",0.848218655,"0.031367241","1.185013067","0.044948469",0.486641577,"0.028859389","2.082350905","0.126285994",0.073826856,"0.031292981","23.98270288","15.56471319",0.227462401,"0.021601476","4.517947683","0.41572513","30.70675179","-59.93958774","15.14149986","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",72,1.257930033,"0.060840135","0.799512653","0.039123448",0.26060503,"0.017414502","3.88107869","0.248975078",0.974001154,"0.038968922","1.031417568","0.041478966",0.832036728,"0.032151725","1.207900512","0.047576832",0.495536397,"0.029633864","2.045069302","0.123400361",0.067911876,"0.030748991","31.2261696","18.89382602",0.23442593,"0.021002188","4.3807759","0.386292311","30.79034792","-60.57415938","15.02270688","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",73,1.227863885,"0.055917884","0.818741761","0.037300433",0.261432549,"0.018419506","3.875707304","0.259013046",0.951048891,"0.036834887","1.05606747","0.040709144",0.812641394,"0.031926463","1.236914034","0.049595164",0.506956877,"0.030383918","1.998528582","0.11997617",0.061883956,"0.028383097","37.10778272","21.3226931",0.241449681,"0.019923272","4.245556281","0.35441785","30.89509844","-61.19492199","14.86669533","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",74,1.200331027,"0.048494452","0.836969168","0.034058645",0.263775403,"0.019874818","3.852123096","0.271061206",0.927944484,"0.032557753","1.081902986","0.037612312",0.791751203,"0.030423037","1.269748275","0.049811468",0.519991573,"0.030026","1.946670395","0.113006188",0.056691646,"0.024903321","40.87129056","24.26349348",0.247155078,"0.01870336","4.141045489","0.316457928","31.01862379","-61.80303452","14.67392856","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",75,1.177486438,"0.041652274","0.852735679","0.030952884",0.267041751,"0.022048101","3.815274573","0.295275269",0.906817432,"0.027170135","1.106419198","0.032610057",0.771482917,"0.028152598","1.302738733","0.048097614",0.533078182,"0.028776658","1.894795253","0.104619313",0.052620078,"0.021492483","42.40065696","25.51244183",0.250977641,"0.018887509","4.072360249","0.303355203","31.15981322","-62.39587517","14.43863807","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",76,1.158961904,"0.038479583","0.866122723","0.029836439",0.270423598,"0.025374068","3.778681139","0.335642268",0.888565942,"0.0217791","1.128493289","0.027028899",0.753367954,"0.026178849","1.333587374","0.046931795",0.543972659,"0.02670329","1.852214149","0.093585569",0.048202199,"0.01889189","43.15111047","26.09658713",0.253203296,"0.021201871","4.037435273","0.334195961","31.32231542","-62.96707201","14.15892455","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",77,1.1435883,"0.037577739","0.8776302","0.029713777",0.272624703,"0.028527044","3.761342415","0.36912847",0.874136022,"0.01765821","1.146694414","0.022472749",0.739409885,"0.02546928","1.358734135","0.047900083",0.551525249,"0.024078571","1.82412654","0.080740277",0.043044378,"0.016386718","43.09688495","23.53399631",0.255167866,"0.023754128","4.014376855","0.375839784","31.50588399","-63.51457778","13.84035812","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",78,1.131380392,"0.036706454","0.886876624","0.029261671",0.272872713,"0.02982033","3.762369151","0.380346516",0.864298038,"0.014772693","1.15932887","0.019119778",0.730756869,"0.024778533","1.374449861","0.047940383",0.556275105,"0.021399529","1.806704589","0.06924992",0.038757282,"0.014031445","41.67436602","18.78235223",0.257253887,"0.024632992","3.984360745","0.392020238","31.70256298","-64.03733611","13.48248529","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",79,1.123350877,"0.035772233","0.893022037","0.02861003",0.272775095,"0.028869991","3.755954457","0.368733114",0.858178217,"0.012887276","1.167258989","0.016876344",0.725591897,"0.022990895","1.383371549","0.044939961",0.559583277,"0.019228186","1.794375008","0.061094786",0.036511037,"0.012834974","39.51053381","14.62737348",0.258744637,"0.024251115","3.956886933","0.384442073","31.91255175","-64.53435237","13.08871688","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
